OBJECTID,Lat,Long,zipcode
52934,42.28621733,-71.13549239,2131
52935,42.28774829,-71.13758074,2131
52936,42.28840312,-71.13832745,2131
52937,42.28873101,-71.13866364,2131
52938,42.2889827,-71.13904707,2131
52939,42.28925295,-71.13945476,2131
52940,42.28702557,-71.13668616,2131
52941,42.28634497,-71.13605797,2131
52942,42.28620309,-71.13641362,2131
52943,42.28769879,-71.1386605,2131
52944,42.28927808,-71.141052,2131
52945,42.2890325,-71.1406835,2131
52946,42.28868673,-71.14031509,2131
52947,42.28839593,-71.13987426,2131
52948,42.28720486,-71.13818286,2131
52949,42.28618646,-71.13725723,2131
52950,42.28615644,-71.13745073,2131
52951,42.28631029,-71.13759494,2131
52952,42.28719649,-71.13865476,2131
52953,42.28810281,-71.13977904,2131
52954,42.28881709,-71.1408264,2131
52955,42.28856921,-71.14114242,2131
52956,42.28760657,-71.13982891,2131
52957,42.28707698,-71.13921341,2131
52958,42.28614866,-71.13806418,2131
52959,42.2860975,-71.13814584,2131
52960,42.28774855,-71.14039805,2131
52961,42.28708907,-71.13975122,2131
52962,42.28626203,-71.13857435,2131
52963,42.28767043,-71.14096643,2131
52964,42.28827376,-71.1415156,2131
52965,42.28898238,-71.14234417,2131
52966,42.28867744,-71.14271541,2131
52967,42.28799963,-71.14186084,2131
52968,42.28706088,-71.14024171,2131
52969,42.28610401,-71.13905161,2131
52970,42.28557342,-71.13876566,2131
52971,42.28621404,-71.13957462,2131
52972,42.28606784,-71.14005628,2131
52973,42.28708097,-71.14079543,2131
52974,42.28777983,-71.1421255,2131
52975,42.28862761,-71.14324058,2132
52976,42.28795107,-71.14269731,2131
52977,42.28712127,-71.14126234,2131
52978,42.2853574,-71.13916328,2131
52979,42.28835034,-71.14372337,2131
52980,42.28716459,-71.14178603,2131
52981,42.28599089,-71.14048829,2131
52982,42.28619288,-71.14056362,2131
52983,42.28504405,-71.13939288,2131
52984,42.2858316,-71.14081883,2131
52985,42.28604703,-71.14108837,2131
52986,42.28718628,-71.14230755,2131
52987,42.28790786,-71.14331787,2131
52988,42.28822738,-71.14425498,2131
52989,42.28815449,-71.14449736,2131
52990,42.28811442,-71.14390523,2131
52991,42.28718394,-71.14286067,2131
52992,42.28617236,-71.14160234,2131
52993,42.28483336,-71.13978054,2131
52994,42.28451413,-71.14001682,2131
52995,42.28491539,-71.14017711,2131
52996,42.28550245,-71.14105719,2131
52997,42.28602799,-71.14207051,2131
52998,42.28716555,-71.14331688,2131
52999,42.2871369,-71.14369087,2131
53000,42.28615537,-71.14254293,2131
53001,42.28561825,-71.14154481,2131
53002,42.28529123,-71.14144891,2131
53003,42.28428777,-71.14042398,2131
53004,42.28497839,-71.14166834,2131
53005,42.28601111,-71.14302349,2131
53006,42.28613736,-71.14350859,2131
53007,42.28558195,-71.14284227,2131
53008,42.28531729,-71.14242816,2131
53009,42.28504781,-71.14201322,2131
53010,42.28397433,-71.14065179,2131
53011,42.28475782,-71.14207307,2131
53012,42.2866364,-71.14436425,2132
53013,42.28663262,-71.14469564,2132
53014,42.28664314,-71.14411184,2132
53015,42.28443831,-71.14229908,2131
53016,42.28599271,-71.14400424,2131
53017,42.28611623,-71.14452547,2131
53018,42.28525542,-71.1438515,2131
53019,42.28551662,-71.14425623,2131
53020,42.28578121,-71.14466643,2131
53021,42.28500175,-71.14345451,2131
53022,42.28474175,-71.14304658,2131
53023,42.28448859,-71.14266036,2131
53024,42.28421839,-71.14270526,2131
53025,42.28387352,-71.1429634,2131
53026,42.28395601,-71.14329462,2131
53027,42.28447503,-71.14410008,2131
53028,42.28421967,-71.14370369,2131
53029,42.2847263,-71.14449247,2131
53030,42.28398467,-71.14469976,2131
53031,42.28584911,-71.1419436,2131
53032,42.28784769,-71.14152816,2131
53033,42.28780717,-71.13927693,2131
53034,42.28784817,-71.13815885,2131
53035,42.28806156,-71.13827298,2131
53036,42.28633121,-71.13685613,2131
53037,42.28823676,-71.13225665,2131
53038,42.28919848,-71.13430873,2131
53039,42.28927571,-71.13439032,2131
53040,42.2887921,-71.134591,2131
53041,42.28616294,-71.1327852,2131
53042,42.285849,-71.14326187,2131
53043,42.28458142,-71.13507464,2131
53044,42.28426779,-71.13544698,2131
53045,42.28588458,-71.13854737,2131
53046,42.28687483,-71.13650241,2131
53047,42.28411693,-71.13191954,2131
53048,42.2844159,-71.13157875,2131
53049,42.28392809,-71.13094823,2131
53050,42.28389471,-71.1307557,2131
53051,42.28405911,-71.13058092,2131
53052,42.2841645,-71.13069795,2131
53053,42.28518636,-71.13191589,2131
53054,42.28471269,-71.1312412,2131
53055,42.28430264,-71.13054702,2131
53056,42.28422054,-71.13040559,2131
53057,42.28444922,-71.13016377,2131
53058,42.28454584,-71.13028703,2131
53059,42.28545643,-71.13160288,2131
53060,42.2846496,-71.12994695,2131
53061,42.28473211,-71.13008467,2131
53062,42.28644525,-71.13193631,2131
53063,42.28639002,-71.13182187,2131
53064,42.28495113,-71.12985568,2131
53065,42.2848666,-71.12971463,2131
53066,42.284182,-71.12837208,2131
53067,42.28428982,-71.12840361,2131
53068,42.28505095,-71.12951826,2131
53069,42.28506636,-71.12972839,2131
53070,42.28601227,-71.13095479,2131
53071,42.28642223,-71.13162352,2131
53072,42.28652702,-71.13148777,2131
53073,42.28648014,-71.13098434,2131
53074,42.28618284,-71.13093183,2131
53075,42.28608405,-71.13104847,2131
53076,42.28592264,-71.130574,2131
53077,42.28529753,-71.12948245,2131
53078,42.28522919,-71.12932701,2131
53079,42.28447106,-71.12845658,2131
53080,42.28437875,-71.12831504,2131
53081,42.28430747,-71.12829311,2131
53082,42.28711765,-71.13189567,2131
53083,42.28665746,-71.13155991,2131
53084,42.2862765,-71.131794,2131
53085,42.285667,-71.1313547,2131
53086,42.28713381,-71.13197911,2131
53087,42.28436085,-71.12842829,2131
53088,42.28612875,-71.13121435,2131
53089,42.28720878,-71.13179084,2131
53090,42.28688109,-71.13146431,2131
53091,42.28628331,-71.13063778,2131
53092,42.28534811,-71.1292014,2131
53093,42.28452699,-71.12814207,2131
53094,42.28386714,-71.12675528,2131
53095,42.28442288,-71.12750035,2131
53096,42.28485988,-71.12804691,2131
53097,42.28490754,-71.12840681,2131
53098,42.28655438,-71.13050058,2131
53099,42.28669112,-71.13073536,2131
53100,42.28697895,-71.13137083,2131
53101,42.28716701,-71.13138244,2131
53102,42.28714928,-71.13157079,2131
53103,42.28736462,-71.1318087,2131
53104,42.28747797,-71.13149218,2131
53105,42.2873351,-71.13134863,2131
53106,42.28708756,-71.13118961,2131
53107,42.28699508,-71.13091071,2131
53108,42.28669754,-71.13051053,2131
53109,42.28662114,-71.13060512,2131
53110,42.2866252,-71.1303972,2131
53111,42.28659377,-71.13027581,2131
53112,42.28642295,-71.13029105,2131
53113,42.2865021,-71.13020085,2131
53114,42.28633881,-71.13015407,2131
53115,42.28641535,-71.13006115,2131
53116,42.28625156,-71.13000897,2131
53117,42.28632707,-71.12991411,2131
53118,42.2861629,-71.12986362,2131
