OBJECTID,Lat,Long,zipcode
45225,42.31750228,-71.09112362,02121
45226,42.31747592,-71.09126312,02121
45227,42.31691068,-71.09183219,02121
45228,42.31702991,-71.09184999,02119
45229,42.31685462,-71.09237549,02121
45230,42.31687392,-71.09278894,02119
45231,42.31699572,-71.09229792,02119
45232,42.31698885,-71.09212343,02119
45233,42.31679454,-71.09162311,02121
45234,42.31686801,-71.09171614,02121
45235,42.31731171,-71.09151851,02119
45236,42.31759259,-71.09142729,02119
45237,42.31775973,-71.09159576,02119
45238,42.31786202,-71.09186613,02119
45239,42.31960711,-71.08973697,02119
45240,42.31694221,-71.091333,02121
45241,42.31691151,-71.09153485,02121
45242,42.31680409,-71.09114251,02121
45243,42.31680263,-71.09082963,02121
45244,42.31666724,-71.09034117,02121
45245,42.31792065,-71.08638804,02119
45246,42.3176538,-71.08644601,02121
45247,42.31761018,-71.08626374,02119
45248,42.31785093,-71.08620993,02119
45249,42.31806837,-71.08616313,02119
45250,42.3182645,-71.0861195,02119
45251,42.3174233,-71.08650126,02121
45252,42.31739447,-71.08631448,02121
45253,42.31724172,-71.08655764,02121
45254,42.31709596,-71.08639781,02121
45255,42.31704623,-71.08632912,02121
45256,42.31687345,-71.08651907,02121
45257,42.31669359,-71.08662549,02121
45258,42.31674448,-71.08678216,02121
45259,42.31685687,-71.08610334,02121
45260,42.31688005,-71.08581045,02121
45261,42.3167024,-71.08559314,02121
45262,42.31680015,-71.08529354,02121
45263,42.31674223,-71.08496899,02121
45264,42.31689565,-71.08507066,02119
45265,42.31691939,-71.08517431,02121
45266,42.3180967,-71.08954596,02119
45267,42.31845841,-71.08938859,02119
45268,42.31862559,-71.0892004,02119
45269,42.31824271,-71.0893673,02119
45270,42.3179227,-71.08910517,02121
45271,42.31775464,-71.08883129,02121
45272,42.3177536,-71.08853279,02121
45273,42.3175999,-71.08832315,02121
45274,42.31758918,-71.08801482,02121
45275,42.31743856,-71.08781971,02121
45276,42.31743768,-71.08755082,02121
45277,42.31730162,-71.08739963,02121
45278,42.31729776,-71.08711263,02121
45279,42.31713974,-71.08689228,02121
45280,42.31701849,-71.08665344,02121
45281,42.31713236,-71.08735595,02121
45282,42.31675365,-71.08755899,02121
45283,42.31694535,-71.08745686,02121
45284,42.31668579,-71.08786751,02121
